Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
4.93,48.69,3.9836,22.76,24.0,4.1524
5.11,48.74,3.9821,22.84,24.1,4.1476
5.15,48.69,3.9757,23.0,24.1,4.1492
5.19,48.74,3.9805,23.32,24.1,4.1461
5.24,48.69,3.9805,23.48,24.1,4.1429
5.28,48.79,3.9821,23.24,24.1,4.1429
5.32,48.67,3.9852,23.4,24.1,4.1476
5.36,48.64,3.9757,23.24,24.1,4.1476
5.4,48.72,3.9805,23.48,24.1,4.1429
5.45,48.69,3.9805,23.32,24.1,4.1492
5.49,48.72,4.0043,23.16,24.1,4.1508
5.54,48.72,4.0028,23.24,24.1,4.1461
5.58,48.72,4.0091,23.24,24.1,4.1524
5.62,48.67,4.0043,23.32,24.1,4.1492
5.66,48.64,3.998,23.48,24.1,4.1492
5.7,48.74,4.0012,23.24,24.1,4.1476
5.75,48.64,4.0059,23.0,24.1,4.1461
5.79,48.74,3.9948,23.24,24.1,4.1461
5.95,48.72,4.0043,23.32,24.1,4.1413
5.99,48.82,3.9741,23.32,24.1,4.1492
6.03,48.72,4.0043,23.24,24.1,4.1461
6.07,48.74,4.0043,23.16,24.1,4.1492
6.12,48.77,4.0043,23.24,24.1,4.1492
6.16,48.77,3.998,23.16,24.1,4.1413
6.2,48.67,4.0012,23.08,24.1,4.1492
6.24,48.79,4.0012,23.32,24.1,4.1476
6.28,48.77,4.0075,23.48,24.1,4.1508
6.33,48.77,4.0043,22.92,24.1,4.1429
6.49,48.74,3.9805,23.4,24.1,4.1492
6.53,48.64,4.0028,23.32,24.1,4.1476
6.57,48.74,4.0012,23.08,24.1,4.1461
6.61,48.62,3.998,23.32,24.1,4.1524
6.66,48.64,4.0028,23.32,24.1,4.1492
6.7,48.6,3.9996,23.08,24.1,4.1476
6.74,48.57,4.0012,23.24,24.1,4.1476
6.78,48.64,4.0028,23.24,24.1,4.1476
6.82,48.55,4.0075,23.0,24.2,4.1476
6.99,48.64,4.0043,23.24,24.1,4.1445
7.03,48.6,3.9741,23.24,24.1,4.1476
7.08,48.62,4.0059,23.56,24.1,4.1445
7.12,48.6,4.0043,23.24,24.1,4.1508
7.16,48.6,3.9996,23.08,24.1,4.1461
7.2,48.62,4.0075,23.16,24.1,4.1492
7.24,48.64,4.0043,23.32,24.1,4.1492
7.29,48.69,4.0059,23.32,24.2,4.1508
7.33,48.62,4.0043,23.48,24.2,4.1508
7.37,48.72,4.0043,23.16,24.2,4.1445
7.54,48.72,3.9773,23.24,24.1,4.1492
7.58,48.69,3.9996,23.24,24.1,4.1492
7.62,48.69,4.0012,23.32,24.1,4.1461
7.66,48.74,3.9996,23.24,24.1,4.1476
7.7,48.67,4.0043,23.4,24.2,4.1461
7.75,48.64,3.9996,23.32,24.2,4.1461
7.79,48.72,3.9996,23.4,24.2,4.1445
7.83,48.67,4.0043,23.16,24.2,4.1508
7.87,48.67,4.0012,23.4,24.2,4.1445
7.92,48.64,3.9789,23.16,24.2,4.1476
7.96,48.77,4.0075,23.08,24.2,4.1508
8.0,48.69,4.0043,23.24,24.2,4.1461
8.05,48.72,4.0059,23.24,24.2,4.1476
8.09,48.67,4.0028,23.16,24.2,4.154
8.13,48.74,4.0028,23.24,24.2,4.1492
8.17,48.74,4.0091,23.24,24.2,4.1476
8.21,48.69,3.9964,23.24,24.2,4.1492
8.26,48.72,4.0043,23.16,24.2,4.1508
8.3,48.74,4.0043,23.16,24.2,4.1476
8.35,48.82,3.9805,23.4,24.2,4.1508
8.39,48.69,3.998,23.16,24.2,4.1476
8.43,48.77,3.9996,23.08,24.2,4.1476
8.47,48.74,4.0091,23.48,24.2,4.1492
8.51,48.77,4.0043,23.24,24.2,4.1492
8.56,48.77,4.0028,23.56,24.2,4.1524
8.6,48.69,3.998,23.32,24.2,4.1445
8.64,48.79,4.0028,23.32,24.2,4.154
8.68,48.62,4.0043,23.08,24.2,4.1476
8.73,48.69,3.9773,23.08,24.2,4.1492
8.77,48.72,3.998,23.24,24.2,4.1476
8.81,48.74,3.998,23.32,24.2,4.1461
8.86,48.72,4.0028,23.16,24.2,4.1492
8.9,48.69,4.0043,23.24,24.2,4.1492
8.94,48.69,3.998,23.32,24.2,4.1524
9.0,48.69,3.9821,23.24,24.2,4.1445
9.04,48.72,3.9805,23.16,24.2,4.1461
9.09,48.72,3.9741,23.24,24.2,4.1429
9.13,48.79,3.9805,23.16,24.2,4.1445
9.18,48.72,3.9836,23.32,24.2,4.1476
9.22,48.72,4.0043,23.16,24.2,4.1492
9.26,48.72,4.0012,23.24,24.2,4.1445
9.3,48.72,4.0028,23.16,24.2,4.1524
9.34,48.72,4.0059,23.32,24.2,4.1476
9.39,48.79,4.0043,23.16,24.2,4.1476
9.43,48.72,4.0059,23.0,24.2,4.1492
9.47,48.74,4.0028,23.4,24.2,4.1492
9.51,48.6,4.0075,23.16,24.2,4.1492
9.57,48.57,3.9821,22.76,24.2,4.1492
9.61,48.42,4.0012,23.48,24.2,4.1508
9.65,48.4,4.0028,23.32,24.2,4.1524
9.69,48.25,4.0028,23.32,24.2,4.1524
9.74,48.08,3.9964,23.32,24.2,4.1492
9.78,47.84,3.998,23.32,24.2,4.1476
9.82,47.52,3.998,23.48,24.2,4.1476
9.86,47.23,4.0012,23.48,24.3,4.1508
9.9,46.81,4.0043,23.16,24.3,4.1476
9.95,46.52,4.0012,23.32,24.2,4.1461
9.99,45.86,3.9789,23.4,24.3,4.1429
10.04,45.42,4.0043,23.56,24.3,4.1492
10.08,45.23,4.0059,23.08,24.3,4.1508
10.12,45.15,4.0059,23.4,24.3,4.1476
10.16,45.15,4.0059,23.24,24.3,4.1476
10.2,45.23,4.0107,23.16,24.3,4.1476
10.25,45.45,3.9996,23.24,24.3,4.1461
10.29,45.64,3.9964,23.4,24.3,4.1461
10.33,45.84,4.0043,23.32,24.3,4.1445
10.38,46.18,3.9836,23.32,24.3,4.1476
10.42,46.03,3.9996,23.4,24.3,4.1492
10.46,46.15,4.0012,23.4,24.3,4.1492
10.5,46.18,4.0043,23.24,24.3,4.1524
10.55,46.11,4.0075,23.16,24.3,4.1461
10.59,46.15,3.998,23.16,24.3,4.1476
10.63,46.11,3.9996,23.16,24.3,4.1492
10.67,46.15,4.0012,23.32,24.3,4.1476
10.71,46.01,4.0043,23.48,24.3,4.1492
10.76,45.91,3.9789,23.4,24.3,4.1508
10.8,45.89,4.0012,23.32,24.3,4.1461
10.85,46.01,4.0028,23.56,24.3,4.1461
10.89,46.06,3.998,23.56,24.3,4.1508
10.93,46.13,4.0028,23.32,24.3,4.1476
10.97,46.25,4.0043,23.4,24.3,4.1461
11.01,46.28,4.0043,23.48,24.3,4.1445
11.06,46.42,3.9996,23.32,24.3,4.1461
11.1,46.62,4.0028,23.4,24.3,4.1476
11.15,46.69,3.9821,23.16,24.3,4.1492
11.19,46.79,4.0091,23.56,24.3,4.1492
11.23,46.79,4.0091,23.88,24.3,4.1492
11.27,46.76,3.998,23.64,24.3,4.1476
11.31,46.62,4.0028,23.64,24.3,4.1508
11.36,46.64,4.0059,23.72,24.3,4.1445
11.4,46.72,4.0059,23.56,24.3,4.1508
11.44,46.74,4.0059,23.64,24.3,4.1492
11.48,46.72,4.0028,23.96,24.3,4.1461
11.53,46.79,4.0028,23.56,24.3,4.1476
11.57,46.81,3.9805,23.72,24.3,4.1429
11.61,46.79,4.0028,23.96,24.3,4.1461
11.66,46.79,4.0059,23.96,24.3,4.1461
11.7,46.89,4.0043,23.88,24.4,4.1492
11.74,46.89,4.0043,23.64,24.4,4.1461
11.78,46.91,3.998,23.88,24.4,4.1476
11.82,46.89,3.9996,23.88,24.4,4.1492
11.87,46.94,3.9996,23.96,24.4,4.1461
11.91,46.96,3.9964,23.8,24.4,4.1445
11.95,46.91,3.9805,23.72,24.4,4.1445
12.0,46.91,3.9996,23.88,24.4,4.1461
12.04,46.94,4.0043,23.8,24.4,4.1429
12.08,46.86,4.0075,23.8,24.4,4.1476
12.12,46.94,3.998,23.8,24.4,4.1445
12.16,46.86,4.0043,24.12,24.4,4.1476
12.21,46.84,4.0059,23.88,24.4,4.1476
12.25,46.94,3.9964,24.04,24.4,4.1524
12.29,46.94,4.0059,23.88,24.4,4.1476
12.34,46.94,3.9773,24.28,24.4,4.1445
12.38,46.94,4.0043,24.36,24.4,4.1445
12.42,46.89,4.0075,24.36,24.4,4.1476
12.46,46.91,4.0059,23.96,24.5,4.1476
12.51,46.94,4.0012,24.04,24.5,4.1492
12.55,46.91,3.9996,24.28,24.5,4.1508
12.59,46.98,4.0043,24.36,24.5,4.1476
12.63,46.98,4.0059,24.04,24.5,4.1461
12.67,46.96,4.0012,24.04,24.5,4.1445
12.72,46.94,3.9741,24.12,24.5,4.1445
12.76,46.94,3.9996,24.43,24.5,4.1492
12.81,46.98,4.0043,24.28,24.5,4.1492
12.85,47.01,4.0059,24.04,24.5,4.1492
12.89,46.98,4.0075,24.2,24.5,4.1492
12.93,47.06,4.0043,24.43,24.5,4.1461
12.97,46.96,4.0059,24.43,24.5,4.1492
13.04,47.01,3.9836,24.12,24.5,4.1461
13.08,46.96,3.9821,24.43,24.5,4.1461
13.13,46.98,3.9852,24.28,24.5,4.1461
13.17,46.98,4.0012,24.59,24.5,4.1492
13.21,47.01,3.9996,24.59,24.5,4.1492
13.25,46.94,4.0043,24.59,24.5,4.1461
13.3,46.94,3.998,24.59,24.5,4.1492
13.34,47.01,4.0091,24.51,24.5,4.1476
13.38,47.01,4.0059,24.75,24.5,4.1476
13.42,46.96,4.0028,24.43,24.5,4.1476
13.46,46.91,4.0028,24.36,24.5,4.1492
13.51,47.06,3.9821,24.59,24.5,4.1476
13.55,47.03,3.998,24.43,24.5,4.1492
13.6,46.98,4.0059,24.43,24.5,4.1492
13.64,47.01,4.0012,24.67,24.5,4.1445
