1V1,RMS,P to P
1.04,2.34,
1.052,3.3,17.6
1.06,4.4,48.4
1.065,1.47,10
1.066,3.5,17.9
1.07,2.02,16.4
1.07,2.28,18.8
1.072,3.09,25.6
1.078,2.67,12.8
1.079,1.8,11.4
1.079,4.11,45.2
1.08,3.16,19.5
1.08,2.54,16.3
1.08,2.17,12.2
1.08,3.36,26
1.08,3.96,18.5
1.08,2.39,21.2
1.08,2.89,21.6
1.08,6.75,29.5
1.08,1.08,
1.081,5.06,23.3
1.081,1.54,10.2
1.082,4.77,42.8
1.082,2.48,4.52
1.083,0.85,4.5
1.084,4.12,21.8
1.085,4.41,23.6
1.086,2.42,
1.087,2.11,12.6
1.088,3.9,18.2
1.088,4.11,16.6
1.089,6.05,26.4
1.09,2.36,20
1.09,3,13.1
1.09,15,37.6
1.09,4.07,22.6
1.091,3.68,16.2
1.091,3.62,24.2
1.092,5.3,
1.092,5.98,25.8
1.095,2.14,12.8
1.096,1.62,8.72
1.096,2,15
1.0962,2.83,17.8
1.098,1.18,9
1.1,2.9,17.2
1.1,1.35,12.8
1.1,3,16
1.101,2.55,13.2
1.101,3.91,21.2
1.101,1.84,
1.104,2.58,35.6
1.104,2.69,16.3
1.11,2.86,14.8
1.12,1.05,8
1.173,3.19,20.2
