,"USB Voltages From 3 Laptops (about 5V), Record RMS and Peak to Peak Voltages in millivolts",,,,,,,,,Arduino UNO 3.3,,,Arduino UNO 1.1,,
Group,V1 [V],RMS [mV],P to P [mV],V2 [V],RMS [mV],P to P [mV],V3 [V],RMS [mV],P to P [mV],3V3 [V],RMS [mV],P to P [mV],1.1[V],RMS [mV],P to P [mV]
1,5.083,148.00,38.00,5.162,13.30,25.20,,,,3.362,23.00,20.00,1.100,40.10,25.60
2,5.017,6.71,5.36,4.993,4.90,20.40,5.006,1.09,6.76,3.302,0.68,5.36,1.095,4.63,21.60
3,5.099,4.87,18.40,5.118,5.45,24.40,5.069,3.37,14.40,3.307,1.31,8.00,1.107,4.58,18.40
4,5.042,2.64,19.20,5.053,7.60,35.20,5.042,1.98,12.80,3.391,0.61,4.32,1.091,2.06,10.40
5,5.021,2.10,25.20,5.012,3.25,24.00,5.013,1.63,17.20,3.404,1.35,24.20,1.084,4.25,35.50
6,5.038,1.22,12.10,4.990,3.01,33.20,5.066,2.83,18.60,3.389,1.17,20.30,1.093,3.94,36.60
7,5.133,2.20,14.00,4.933,1.40,9.20,5.003,3.30,18.00,3.333,1.74,10.00,1.092,1.97,11.60
8,5.083,0.95,2.24,4.956,0.70,2.32,5.111,0.84,2.96,3.328,0.84,7.80,1.089,1.83,11.00
9,5.065,1.53,9.00,4.997,2.90,15.40,5.068,1.79,11.40,3.342,0.94,6.80,1.079,3.11,14.40
10,5.073,1.06,10.30,4.941,0.95,10.80,5.010,1.38,9.60,3.372,0.63,7.84,1.089,2.24,19.40
11,4.930,2.31,14.00,5.027,2.41,16.00,4.925,2.29,26.00,3.398,2.06,26.00,1.084,2.56,24.00
12,4.974,2.34,16.80,5.077,4.21,20.00,4.980,1.42,9.51,3.371,0.76,2.60,1.096,3.77,17.20
13,5.061,6.53,29.50,5.180,6.60,28.60,5.095,2.52,15.00,3.306,1.55,7.92,1.086,2.50,12.80
14,5.047,1.48,9.20,5.017,2.25,17.80,5.037,2.10,14.20,3.300,0.70,8.48,1.080,2.98,20.00
15,5.060,1.33,7.92,5.078,8.43,32.00,,,,3.266,1.11,20.40,1.088,2.72,21.60
16,5.072,1.06,10.30,4.943,0.95,10.60,5.010,1.38,9.60,3.372,0.63,7.83,1.053,2.24,19.40
17,4.981,1.29,10.70,4.981,1.79,6.96,4.901,1.24,8.08,3.284,1.23,7.60,1.075,1.74,9.36
18,4.947,2.45,16.50,5.020,2.96,20.60,5.088,2.64,15.20,3.304,1.64,25.20,1.082,3.98,32.20
19,5.067,3.68,19.60,5.030,2.06,18.40,,,,3.298,0.57,4.24,1.040,0.26,1.28
20,5.110,4.81,22.80,5.110,5.85,32.80,5.070,0.90,6.16,3.440,0.62,3.92,1.130,1.48,8.16
21,5.247,4.03,22.00,5.044,3.68,20.00,5.129,3.74,20.40,3.341,2.12,12.00,1.072,5.56,26.00
22,4.960,71.10,80.00,5.040,30.60,160.00,4.980,31.30,160.00,3.370,14.20,40.00,1.100,15.50,60.00
23,5.130,2.25,15.60,5.020,4.66,24.80,5.180,3.29,17.20,3.450,1.03,6.80,1.080,3.17,21.80
24,5.100,2.41,13.60,5.110,3.11,18.60,5.100,8.22,34.00,3.400,1.60,10.00,1.110,3.50,18.00
25,5.092,3.70,22.40,5.139,5.06,27.20,5.030,4.48,27.20,3.287,2.43,14.40,1.089,5.98,26.40
26,5.071,5.44,24.40,5.119,1.37,8.64,5.070,1.44,10.10,3.369,0.89,8.64,1.091,2.33,13.60
27,5.050,1.81,11.20,5.049,4.63,28.80,5.025,1.83,12.00,3.380,1.62,17.10,1.102,3.21,21.60
28,5.050,1.13,7.76,5.110,2.98,18.40,5.090,1.03,7.04,,1.19,7.84,1.092,3.38,9.20
29,5.120,3.33,21.20,5.060,2.04,16.80,5.010,2.93,18.60,3.360,1.60,10.20,1.120,1.78,7.80
30,5.110,5.05,41.80,5.150,5.26,48.00,4.920,4.73,38.80,3.340,1.72,31.20,1.086,4.17,39.80
31,5.090,3.34,17.70,5.038,1.39,10.70,5.051,1.31,8.40,3.291,1.02,6.40,1.101,0.73,11.30
32,5.081,1.82,13.10,5.065,1.41,8.80,4.936,3.18,17.40,3.368,3.06,15.20,1.080,2.63,14.60
33,5.071,11.50,44.00,5.064,7.01,22.40,5.000,5.81,20.80,3.316,1.19,9.12,1.085,1.88,12.00
34,5.048,5.32,30.40,5.162,7.20,38.00,5.091,3.09,18.40,3.310,0.87,7.20,1.105,4.53,22.40
35,5.047,2.89,18.00,5.023,2.97,21.40,,,,3.363,2.89,16.80,1.091,2.05,16.00
36,5.012,5.11,20.00,5.020,2.80,14.00,3.135,5.02,16.80,3.301,1.60,10.50,1.082,1.25,9.50
37,5.074,3.08,18.60,5.104,1.51,9.12,5.029,4.10,20.60,3.297,0.54,3.44,1.083,1.43,8.88
38,5.114,2.36,13.20,5.074,2.40,17.60,,,,3.342,1.21,15.60,1.094,4.23,22.20
39,5.060,4.69,13.20,5.060,3.97,24.00,4.978,6.06,32.00,3.294,0.84,6.40,1.084,3.83,17.20
40,5.089,3.44,44.00,5.105,2.25,24.00,5.140,2.73,28.00,3.300,2.09,43.20,1.094,3.33,46.80
41,5.099,15.30,58.40,4.968,5.20,23.00,5.016,4.93,55.00,3.300,15.70,57.60,1.075,0.86,3.20
42,5.064,4.47,42.00,5.071,7.20,34.20,5.051,2.21,12.00,3.041,2.40,38.20,1.039,1.85,12.40
43,5.088,5.50,26.60,5.055,1.50,11.00,5.044,1.80,10.70,3.290,0.55,5.60,1.092,1.30,7.50
44,5.157,2.16,13.20,5.025,2.94,18.40,5.098,2.34,16.80,3.296,1.00,10.40,1.092,2.23,11.20
45,5.033,4.43,18.80,5.174,1.94,11.60,5.057,5.57,19.40,3.389,1.28,6.20,1.080,2.88,13.60
46,4.946,3.97,19.60,4.935,1.56,9.60,4.969,3.06,11.20,3.328,1.53,11.80,1.090,3.89,18.60
