seconds, T0, T1, T2, T3, T4, T5, BAT, 
4.534, 24.854, 26.605, 25.571, 25.889, 25.809, 25.013, 4.1747, 
4.558, 24.775, 26.526, 25.730, 25.809, 25.571, 24.854, 4.1779, 
4.570, 25.332, 26.366, 25.650, 25.889, 25.650, 24.934, 4.1747, 
4.578, 25.093, 26.526, 25.889, 25.889, 25.491, 25.173, 4.1763, 
4.586, 25.252, 26.207, 25.889, 26.128, 25.809, 25.093, 4.1779, 
4.595, 25.173, 26.446, 26.366, 25.730, 25.730, 25.173, 4.1763, 
4.603, 25.491, 26.446, 25.969, 25.650, 25.730, 24.934, 4.1763, 
4.611, 25.252, 26.446, 25.969, 26.128, 25.730, 25.093, 4.1747, 
4.626, 25.093, 26.605, 26.048, 25.969, 25.571, 25.093, 4.1779, 
4.634, 25.013, 26.605, 25.889, 26.048, 25.889, 25.252, 4.1715, 
4.642, 25.252, 26.526, 25.889, 26.048, 25.889, 25.252, 4.1795, 
4.651, 25.411, 26.366, 26.048, 25.969, 25.809, 25.093, 4.1779, 
4.659, 24.934, 26.366, 25.730, 25.809, 25.730, 25.013, 4.1795, 
4.667, 24.934, 26.446, 25.969, 25.889, 25.730, 25.013, 4.1731, 
4.676, 25.332, 26.446, 25.889, 26.128, 25.889, 24.854, 4.1795, 
4.684, 25.013, 26.685, 25.889, 25.889, 25.809, 25.252, 4.1779, 
4.700, 25.013, 26.526, 25.730, 25.969, 25.809, 24.934, 4.1795, 
4.708, 24.934, 26.446, 25.809, 26.048, 25.730, 25.013, 4.1827, 
4.716, 25.252, 26.446, 25.889, 26.048, 25.889, 25.093, 4.1779, 
4.725, 25.013, 26.526, 25.889, 25.969, 25.889, 25.093, 4.1795, 
4.733, 25.093, 26.764, 25.889, 25.889, 25.809, 25.411, 4.1763, 
4.741, 25.013, 27.003, 25.889, 26.207, 25.650, 25.013, 4.1795, 
4.750, 25.252, 26.526, 26.128, 25.969, 25.650, 25.491, 4.1795, 
4.758, 25.013, 26.287, 26.128, 25.809, 25.889, 25.093, 4.1795, 
4.772, 25.252, 26.366, 25.730, 25.809, 25.411, 25.093, 4.1763, 
4.780, 25.173, 26.446, 25.969, 26.128, 25.730, 24.934, 4.1731, 
4.789, 25.013, 26.446, 25.969, 25.889, 25.809, 25.650, 4.1795, 
4.797, 25.013, 26.446, 25.889, 26.366, 25.969, 25.093, 4.1747, 
4.805, 25.093, 26.605, 26.207, 25.730, 26.128, 25.093, 4.1779, 
4.814, 25.093, 26.605, 25.650, 26.128, 25.491, 25.093, 4.1795, 
4.822, 24.854, 26.526, 25.809, 26.287, 25.809, 25.093, 4.1731, 
4.836, 24.695, 26.526, 25.889, 25.730, 25.571, 25.013, 4.1731, 
4.844, 25.173, 26.366, 25.809, 26.207, 25.730, 25.013, 4.1811, 
4.853, 24.934, 26.207, 25.889, 25.969, 25.730, 24.934, 4.1731, 
4.861, 24.854, 26.526, 25.889, 25.969, 25.650, 25.093, 4.1747, 
4.869, 25.332, 26.287, 25.889, 25.809, 25.889, 25.093, 4.1747, 
4.878, 25.093, 26.526, 26.446, 25.969, 25.969, 25.013, 4.1747, 
4.886, 25.332, 26.526, 25.969, 26.207, 25.650, 25.093, 4.1779, 
4.894, 25.252, 26.366, 25.889, 26.128, 25.650, 25.252, 4.1795, 
4.908, 24.854, 26.446, 25.889, 26.207, 25.809, 24.934, 4.1795, 
4.917, 25.173, 26.366, 25.969, 25.969, 25.809, 25.013, 4.1763, 
4.925, 25.013, 26.526, 26.287, 26.048, 25.730, 25.173, 4.1763, 
4.933, 25.093, 26.526, 25.969, 26.048, 25.730, 25.252, 4.1779, 
4.942, 25.173, 26.685, 25.889, 25.889, 25.730, 25.093, 4.1779, 
4.950, 25.252, 26.366, 25.969, 25.969, 25.650, 25.252, 4.1747, 
4.958, 25.093, 26.526, 26.207, 25.889, 25.730, 25.173, 4.1779, 
4.967, 25.252, 26.526, 25.969, 25.969, 25.491, 25.173, 4.1763, 
4.981, 25.173, 26.446, 26.128, 26.048, 25.809, 24.934, 4.1731, 
4.989, 24.934, 26.526, 25.969, 25.809, 25.491, 24.775, 4.1731, 
4.997, 24.934, 26.287, 26.207, 25.889, 25.889, 24.934, 4.1795, 
5.006, 25.093, 26.526, 25.809, 25.969, 25.969, 25.571, 4.1763, 
5.014, 24.934, 26.685, 25.889, 26.446, 26.048, 25.093, 4.1811, 
5.022, 24.934, 26.605, 26.128, 25.809, 25.491, 25.013, 4.1795, 
5.031, 25.252, 26.526, 25.969, 26.048, 25.730, 25.093, 4.1811, 
5.039, 25.093, 26.446, 26.048, 26.366, 25.969, 25.093, 4.1795, 
5.053, 25.332, 26.526, 25.969, 25.969, 25.889, 25.013, 4.1779, 
5.061, 25.173, 26.605, 25.650, 26.287, 25.730, 25.173, 4.1763, 
5.070, 25.093, 26.764, 25.809, 26.048, 25.969, 25.013, 4.1811, 
5.078, 25.252, 26.605, 25.809, 25.889, 25.571, 25.013, 4.1715, 
5.087, 25.013, 26.605, 25.889, 26.048, 25.571, 24.775, 4.1795, 
5.095, 25.571, 26.366, 25.969, 26.207, 25.809, 25.013, 4.1731, 
5.103, 25.013, 26.526, 25.969, 25.969, 25.730, 25.093, 4.1795, 
5.112, 25.173, 26.526, 25.889, 25.969, 25.730, 25.013, 4.1763, 
5.126, 24.934, 26.526, 25.809, 25.889, 25.730, 25.093, 4.1747, 
5.134, 25.093, 26.446, 25.889, 25.969, 25.730, 24.934, 4.1795, 
5.142, 24.934, 26.366, 25.969, 25.889, 25.730, 25.093, 4.1715, 
5.151, 25.093, 26.605, 25.889, 25.969, 25.809, 25.093, 4.1779, 
5.159, 25.013, 26.446, 26.128, 26.048, 26.048, 25.252, 4.1811, 
5.167, 24.775, 26.526, 26.207, 25.730, 25.889, 25.332, 4.1763, 
5.176, 25.093, 26.526, 26.048, 25.889, 25.650, 24.934, 4.1827, 
5.184, 25.093, 26.685, 26.128, 26.048, 25.650, 25.093, 4.1779, 
5.198, 25.173, 26.287, 25.969, 26.048, 25.650, 25.093, 4.1763, 
5.206, 25.173, 26.526, 25.730, 25.889, 25.809, 24.854, 4.1763, 
5.215, 25.411, 26.366, 25.809, 25.969, 25.650, 24.934, 4.1763, 
5.223, 25.013, 26.526, 26.048, 25.889, 25.571, 25.093, 4.1747, 
5.231, 24.934, 26.526, 25.969, 25.969, 25.571, 24.854, 4.1715, 
5.240, 25.093, 26.526, 25.730, 26.048, 25.889, 25.093, 4.1731, 
5.248, 25.093, 26.526, 25.969, 26.366, 25.809, 25.093, 4.1731, 
5.256, 25.013, 26.526, 25.889, 26.048, 25.650, 24.934, 4.1779, 
5.270, 24.854, 26.207, 25.889, 25.730, 25.730, 25.093, 4.1779, 
5.279, 25.173, 26.924, 25.889, 25.889, 25.809, 24.854, 4.1747, 
5.287, 25.093, 26.764, 25.889, 25.809, 25.571, 24.934, 4.1763, 
5.295, 25.332, 26.366, 25.889, 25.809, 26.048, 25.013, 4.1779, 
