Time [s], A0
3.001488,267
3.004104,265
3.006736,266
3.0094,266
3.012084,267
3.014792,266
3.017516,265
3.02024,266
3.022956,269
3.025668,266
3.028388,266
3.031112,266
3.033836,266
3.036564,265
3.039288,267
3.042008,266
3.04474,267
3.047464,266
3.050176,266
3.052908,266
3.05564,267
3.058356,266
3.061076,267
3.063804,266
3.06652,266
3.069256,267
3.07198,264
3.074704,265
3.077428,267
3.080148,267
3.082876,267
3.085612,266
3.088332,266
3.091052,267
3.09378,265
3.0965,267
3.099232,266
3.101956,267
3.104692,266
3.107412,266
3.11014,266
3.112868,267
3.115604,266
3.118324,267
3.121044,260
3.12378,266
3.126508,266
3.129232,266
3.131956,264
3.134676,266
3.137404,266
3.140132,266
3.142852,265
3.14558,266
3.1483,267
3.151004,265
3.153724,267
3.156452,266
3.159172,267
3.1619,265
3.164628,267
3.167356,266
3.170084,267
3.17282,268
3.175548,266
3.178272,266
3.181004,266
3.183732,267
3.186452,266
3.18918,270
3.191908,265
3.194644,267
3.197372,264
3.2001,266
3.202828,268
3.205564,266
3.208292,266
3.211012,265
3.213748,266
3.216476,267
3.219196,266
3.221932,264
3.224652,266
3.227372,267
3.2301,268
3.232832,266
3.235556,265
3.238284,261
3.241008,267
3.24374,265
3.246468,266
3.249184,266
3.251916,266
3.254652,266
3.25738,266
3.260108,266
3.262844,267
3.265576,266
3.2683,266
3.27102,267
3.273752,268
3.276476,267
3.279216,266
3.281944,266
3.284668,266
3.287396,265
3.290128,266
3.292852,266
3.29558,266
3.298292,266
3.301012,266
3.30374,266
3.306452,265
3.30918,266
3.311908,265
3.314636,266
3.317364,266
3.320084,267
3.322804,266
3.325524,267
3.328248,265
3.330964,266
3.333692,267
3.336404,266
3.339116,267
3.341852,266
3.34458,264
3.3473,266
3.350028,267
3.352748,265
3.355468,266
3.358196,264
3.360932,267
3.363652,267
3.366388,266
3.369108,268
3.371828,259
3.374564,265
3.377284,267
3.380004,266
3.382732,266
3.385452,266
3.388172,268
3.390908,265
3.393636,266
3.396356,267
3.399084,266
3.401804,265
3.404532,267
3.407264,266
3.409992,267
3.412716,267
3.415444,266
3.418172,264
3.4209,265
3.423636,267
3.426372,266
3.429092,266
3.431828,266
3.434556,268
3.437276,266
3.440012,266
3.442736,265
3.445452,267
3.448188,266
3.45092,266
3.453644,268
3.456372,265
3.459104,266
3.461836,265
3.464564,267
3.467284,267
3.470004,267
3.47274,266
3.475472,265
3.478196,266
3.480932,266
3.483664,267
3.486388,268
3.489116,266
3.491848,266
3.49458,265
3.497308,266
3.500028,266
3.502756,266
3.505484,263
3.508204,266
3.51094,266
3.513676,266
3.516396,266
3.519124,267
3.52186,266
3.52458,265
3.527308,266
3.530028,266
3.532756,265
3.535484,266
3.538208,267
3.540924,266
3.54366,266
3.54638,265
3.549108,266
3.551836,267
3.554564,267
3.557284,266
3.560004,266
3.562724,266
3.565444,265
3.568172,266
3.570892,266
3.57362,266
3.576348,267
3.579068,270
3.581796,266
3.584524,267
3.587248,267
3.589972,265
3.5927,266
3.595428,263
3.598148,266
3.600876,266
3.603588,278
3.606308,265
3.609028,266
3.611756,267
3.614476,265
3.617204,267
3.619932,265
3.62266,260
3.625396,266
3.628124,267
3.630844,265
3.63358,265
3.6363,266
3.63902,266
3.641756,265
3.644484,266
3.647204,266
3.649932,266
3.652664,267
3.655396,267
3.658124,265
3.660856,265
3.663588,266
3.666316,265
3.66904,265
3.671772,266
3.674508,267
3.677248,266
3.679972,265
3.6827,266
3.685424,265
3.688156,267
3.690884,266
3.693616,267
3.69634,266
3.699068,265
3.7018,267
3.704516,265
3.70724,266
3.709968,266
3.7127,266
3.715428,265
3.718152,267
3.720884,266
3.72362,266
3.726348,267
3.729068,266
3.731796,266
3.734516,266
3.73724,264
3.739972,267
3.7427,266
3.745428,266
3.748156,266
3.750884,265
3.753612,266
3.75634,265
3.759052,266
3.761788,267
3.764524,267
3.767248,266
3.769964,268
3.772692,267
3.775412,266
3.77814,265
3.780868,266
3.783588,266
3.786316,266
3.789044,267
3.791764,264
3.794492,267
3.797216,265
3.79994,266
3.802676,271
3.805396,266
3.808124,266
3.81086,266
3.813588,266
3.816316,266
3.819044,266
3.821772,266
