Time [ms],Time [ms],Test 1,Test 2,Test 3,Test 4,Test 5
0,0,3.28,2.46,2.69,0.59,4.92
1.44,1.44,3.28,2.46,2.69,0.59,5.04
2.888,2.888,3.28,2.46,2.58,0.59,5.04
4.328,4.328,3.28,2.46,2.58,0.59,5.04
5.768,5.768,3.28,2.46,2.58,0.59,5.04
7.224,7.224,3.28,2.46,2.58,0.59,5.04
8.664,8.664,3.28,2.46,2.58,0.59,5.04
10.112,10.112,3.28,2.46,2.58,0.59,5.04
11.552,11.552,3.28,2.46,2.58,0.59,5.04
13.008,13.008,3.28,2.46,2.58,0.59,5.04
14.448,14.448,3.28,2.46,2.58,0.59,5.15
15.888,15.888,3.28,2.46,2.58,0.59,5.04
17.336,17.336,3.28,2.46,2.58,0.59,5.04
18.776,18.776,3.28,2.46,2.58,0.59,5.04
20.232,20.232,3.28,2.46,2.46,0.59,5.04
21.664,21.664,3.28,2.46,2.58,0.59,5.15
23.112,23.112,3.28,2.46,2.58,0.59,5.15
24.568,24.568,3.28,2.46,2.58,0.59,5.15
26,26,3.28,2.69,2.58,0.59,5.15
27.456,27.456,3.28,2.69,2.81,0.59,5.04
28.896,28.896,3.16,2.69,2.69,0.59,5.04
30.34,30.34,3.28,2.93,2.58,0.59,5.15
31.792,31.792,3.28,3.16,2.69,0.59,5.15
33.224,33.224,3.28,3.04,2.69,0.59,5.04
34.68,34.68,3.28,3.28,2.69,0.59,5.15
36.12,36.12,3.28,3.4,2.81,0.59,5.15
37.568,37.568,3.28,3.28,2.69,0.59,5.15
39.016,39.016,3.28,3.16,2.69,0.59,5.15
40.448,40.448,3.28,3.28,2.69,0.59,5.15
41.904,41.904,3.28,3.16,2.69,0.59,5.15
43.344,43.344,3.28,3.28,2.81,0.59,5.15
44.792,44.792,3.28,3.4,2.81,0.59,5.15
46.232,46.232,3.28,3.4,2.81,1.41,5.15
47.68,47.68,3.28,3.4,2.69,2.81,5.15
49.128,49.128,3.28,3.51,2.81,3.4,5.15
50.568,50.568,3.28,3.28,2.69,3.98,5.15
52.016,52.016,3.28,3.16,2.81,4.22,5.15
53.456,53.456,3.16,3.16,2.81,4.57,5.15
54.908,54.908,3.28,3.04,2.81,4.22,5.15
56.352,56.352,3.28,3.04,2.81,4.1,5.15
57.792,57.792,3.28,3.04,2.93,4.1,5.15
59.248,59.248,3.28,2.93,3.04,3.75,5.15
60.68,60.68,3.28,3.04,3.04,3.63,5.15
62.136,62.136,3.4,3.04,3.16,3.63,5.15
63.572,63.572,3.4,2.69,3.28,3.4,5.27
65.012,65.012,3.4,2.69,3.28,2.93,5.15
66.468,66.468,3.63,2.58,3.4,2.58,5.15
67.904,67.904,3.75,2.58,3.51,1.87,5.15
88.748,88.748,4.57,2.58,3.63,1.05,5.15
89.956,89.956,4.68,2.58,3.75,0.7,5.15
91.168,91.168,4.68,2.34,3.86,0.59,5.15
92.38,92.38,4.68,2.34,4.1,0.94,5.15
93.6,93.6,4.68,2.34,4.1,0.82,5.15
94.812,94.812,4.68,2.22,4.33,0.94,5.15
96.032,96.032,4.68,2.11,4.45,0.47,5.04
97.252,97.252,4.68,2.11,4.57,0.35,5.15
98.46,98.46,4.68,1.87,4.57,0.12,5.04
99.676,99.676,4.68,1.99,4.68,-0.23,5.04
100.896,100.896,4.57,1.87,4.57,-0.23,5.04
102.116,102.116,4.57,1.87,4.57,0,5.04
