Munged Temp Data File

microseconds, seconds, light, USB, T1, T2, BAT, 
4933697, 4.93, 48.69, 3.9836, 22.76, 24.00, 4.1524, 
5105694, 5.11, 48.74, 3.9821, 22.84, 24.10, 4.1476, 
5151696, 5.15, 48.69, 3.9757, 23.00, 24.10, 4.1492, 
5193699, 5.19, 48.74, 3.9805, 23.32, 24.10, 4.1461, 
5235702, 5.24, 48.69, 3.9805, 23.48, 24.10, 4.1429, 
5277703, 5.28, 48.79, 3.9821, 23.24, 24.10, 4.1429, 
5319698, 5.32, 48.67, 3.9852, 23.40, 24.10, 4.1476, 
5361698, 5.36, 48.64, 3.9757, 23.24, 24.10, 4.1476, 
5403703, 5.40, 48.72, 3.9805, 23.48, 24.10, 4.1429, 
5451699, 5.45, 48.69, 3.9805, 23.32, 24.10, 4.1492, 
5493698, 5.49, 48.72, 4.0043, 23.16, 24.10, 4.1508, 
5535700, 5.54, 48.72, 4.0028, 23.24, 24.10, 4.1461, 
5577699, 5.58, 48.72, 4.0091, 23.24, 24.10, 4.1524, 
5619697, 5.62, 48.67, 4.0043, 23.32, 24.10, 4.1492, 
5661700, 5.66, 48.64, 3.9980, 23.48, 24.10, 4.1492, 
5703700, 5.70, 48.74, 4.0012, 23.24, 24.10, 4.1476, 
5745692, 5.75, 48.64, 4.0059, 23.00, 24.10, 4.1461, 
5787694, 5.79, 48.74, 3.9948, 23.24, 24.10, 4.1461, 
5829703, 5.95, 48.72, 4.0043, 23.32, 24.10, 4.1413, 
5990703, 5.99, 48.82, 3.9741, 23.32, 24.10, 4.1492, 
6032703, 6.03, 48.72, 4.0043, 23.24, 24.10, 4.1461, 
6074703, 6.07, 48.74, 4.0043, 23.16, 24.10, 4.1492, 
6116699, 6.12, 48.77, 4.0043, 23.24, 24.10, 4.1492, 
6158701, 6.16, 48.77, 3.9980, 23.16, 24.10, 4.1413, 
6200697, 6.20, 48.67, 4.0012, 23.08, 24.10, 4.1492, 
6242698, 6.24, 48.79, 4.0012, 23.32, 24.10, 4.1476, 
6284703, 6.28, 48.77, 4.0075, 23.48, 24.10, 4.1508, 
6326703, 6.33, 48.77, 4.0043, 22.92, 24.10, 4.1429, 
6487699, 6.49, 48.74, 3.9805, 23.40, 24.10, 4.1492, 
6529703, 6.53, 48.64, 4.0028, 23.32, 24.10, 4.1476, 
6571699, 6.57, 48.74, 4.0012, 23.08, 24.10, 4.1461, 
6613698, 6.61, 48.62, 3.9980, 23.32, 24.10, 4.1524, 
6655699, 6.66, 48.64, 4.0028, 23.32, 24.10, 4.1492, 
6697697, 6.70, 48.60, 3.9996, 23.08, 24.10, 4.1476, 
6739703, 6.74, 48.57, 4.0012, 23.24, 24.10, 4.1476, 
6781703, 6.78, 48.64, 4.0028, 23.24, 24.10, 4.1476, 
6823694, 6.82, 48.55, 4.0075, 23.00, 24.20, 4.1476, 
6865703, 6.99, 48.64, 4.0043, 23.24, 24.10, 4.1445, 
7034703, 7.03, 48.60, 3.9741, 23.24, 24.10, 4.1476, 
7076698, 7.08, 48.62, 4.0059, 23.56, 24.10, 4.1445, 
7118703, 7.12, 48.60, 4.0043, 23.24, 24.10, 4.1508, 
7160695, 7.16, 48.60, 3.9996, 23.08, 24.10, 4.1461, 
7202700, 7.20, 48.62, 4.0075, 23.16, 24.10, 4.1492, 
7244693, 7.24, 48.64, 4.0043, 23.32, 24.10, 4.1492, 
7286699, 7.29, 48.69, 4.0059, 23.32, 24.20, 4.1508, 
7328703, 7.33, 48.62, 4.0043, 23.48, 24.20, 4.1508, 
7370699, 7.37, 48.72, 4.0043, 23.16, 24.20, 4.1445, 
7536699, 7.54, 48.72, 3.9773, 23.24, 24.10, 4.1492, 
7578703, 7.58, 48.69, 3.9996, 23.24, 24.10, 4.1492, 
7620703, 7.62, 48.69, 4.0012, 23.32, 24.10, 4.1461, 
7662702, 7.66, 48.74, 3.9996, 23.24, 24.10, 4.1476, 
7704695, 7.70, 48.67, 4.0043, 23.40, 24.20, 4.1461, 
7746703, 7.75, 48.64, 3.9996, 23.32, 24.20, 4.1461, 
7788695, 7.79, 48.72, 3.9996, 23.40, 24.20, 4.1445, 
7830693, 7.83, 48.67, 4.0043, 23.16, 24.20, 4.1508, 
7872699, 7.87, 48.67, 4.0012, 23.40, 24.20, 4.1445, 
7920699, 7.92, 48.64, 3.9789, 23.16, 24.20, 4.1476, 
7962697, 7.96, 48.77, 4.0075, 23.08, 24.20, 4.1508, 
8004699, 8.00, 48.69, 4.0043, 23.24, 24.20, 4.1461, 
8046694, 8.05, 48.72, 4.0059, 23.24, 24.20, 4.1476, 
8088704, 8.09, 48.67, 4.0028, 23.16, 24.20, 4.1540, 
8130698, 8.13, 48.74, 4.0028, 23.24, 24.20, 4.1492, 
8172699, 8.17, 48.74, 4.0091, 23.24, 24.20, 4.1476, 
8214698, 8.21, 48.69, 3.9964, 23.24, 24.20, 4.1492, 
8256704, 8.26, 48.72, 4.0043, 23.16, 24.20, 4.1508, 
8298701, 8.30, 48.74, 4.0043, 23.16, 24.20, 4.1476, 
8346701, 8.35, 48.82, 3.9805, 23.40, 24.20, 4.1508, 
8388703, 8.39, 48.69, 3.9980, 23.16, 24.20, 4.1476, 
8430701, 8.43, 48.77, 3.9996, 23.08, 24.20, 4.1476, 
8472700, 8.47, 48.74, 4.0091, 23.48, 24.20, 4.1492, 
8514700, 8.51, 48.77, 4.0043, 23.24, 24.20, 4.1492, 
8556700, 8.56, 48.77, 4.0028, 23.56, 24.20, 4.1524, 
8598699, 8.60, 48.69, 3.9980, 23.32, 24.20, 4.1445, 
8640700, 8.64, 48.79, 4.0028, 23.32, 24.20, 4.1540, 
8682696, 8.68, 48.62, 4.0043, 23.08, 24.20, 4.1476, 
8730700, 8.73, 48.69, 3.9773, 23.08, 24.20, 4.1492, 
8772700, 8.77, 48.72, 3.9980, 23.24, 24.20, 4.1476, 
8814702, 8.81, 48.74, 3.9980, 23.32, 24.20, 4.1461, 
8856693, 8.86, 48.72, 4.0028, 23.16, 24.20, 4.1492, 
8898694, 8.90, 48.69, 4.0043, 23.24, 24.20, 4.1492, 
8940702, 8.94, 48.69, 3.9980, 23.32, 24.20, 4.1524, 
8997703, 9.00, 48.69, 3.9821, 23.24, 24.20, 4.1445, 
9043700, 9.04, 48.72, 3.9805, 23.16, 24.20, 4.1461, 
9085702, 9.09, 48.72, 3.9741, 23.24, 24.20, 4.1429, 
9127700, 9.13, 48.79, 3.9805, 23.16, 24.20, 4.1445, 
9175699, 9.18, 48.72, 3.9836, 23.32, 24.20, 4.1476, 
9217700, 9.22, 48.72, 4.0043, 23.16, 24.20, 4.1492, 
9259703, 9.26, 48.72, 4.0012, 23.24, 24.20, 4.1445, 
9301700, 9.30, 48.72, 4.0028, 23.16, 24.20, 4.1524, 
9343700, 9.34, 48.72, 4.0059, 23.32, 24.20, 4.1476, 
9385700, 9.39, 48.79, 4.0043, 23.16, 24.20, 4.1476, 
9427693, 9.43, 48.72, 4.0059, 23.00, 24.20, 4.1492, 
9469697, 9.47, 48.74, 4.0028, 23.40, 24.20, 4.1492, 
9511698, 9.51, 48.60, 4.0075, 23.16, 24.20, 4.1492, 
9567700, 9.57, 48.57, 3.9821, 22.76, 24.20, 4.1492, 
9609700, 9.61, 48.42, 4.0012, 23.48, 24.20, 4.1508, 
9651701, 9.65, 48.40, 4.0028, 23.32, 24.20, 4.1524, 
9693704, 9.69, 48.25, 4.0028, 23.32, 24.20, 4.1524, 
9735699, 9.74, 48.08, 3.9964, 23.32, 24.20, 4.1492, 
9777703, 9.78, 47.84, 3.9980, 23.32, 24.20, 4.1476, 
9819701, 9.82, 47.52, 3.9980, 23.48, 24.20, 4.1476, 
9861703, 9.86, 47.23, 4.0012, 23.48, 24.30, 4.1508, 
9903697, 9.90, 46.81, 4.0043, 23.16, 24.30, 4.1476, 
9945697, 9.95, 46.52, 4.0012, 23.32, 24.20, 4.1461, 
9993696, 9.99, 45.86, 3.9789, 23.40, 24.30, 4.1429, 
10035700, 10.04, 45.42, 4.0043, 23.56, 24.30, 4.1492, 
10077695, 10.08, 45.23, 4.0059, 23.08, 24.30, 4.1508, 
10119689, 10.12, 45.15, 4.0059, 23.40, 24.30, 4.1476, 
10161693, 10.16, 45.15, 4.0059, 23.24, 24.30, 4.1476, 
10203697, 10.20, 45.23, 4.0107, 23.16, 24.30, 4.1476, 
10245701, 10.25, 45.45, 3.9996, 23.24, 24.30, 4.1461, 
10287699, 10.29, 45.64, 3.9964, 23.40, 24.30, 4.1461, 
10329697, 10.33, 45.84, 4.0043, 23.32, 24.30, 4.1445, 
10377700, 10.38, 46.18, 3.9836, 23.32, 24.30, 4.1476, 
10419693, 10.42, 46.03, 3.9996, 23.40, 24.30, 4.1492, 
10461696, 10.46, 46.15, 4.0012, 23.40, 24.30, 4.1492, 
10503700, 10.50, 46.18, 4.0043, 23.24, 24.30, 4.1524, 
10545701, 10.55, 46.11, 4.0075, 23.16, 24.30, 4.1461, 
10587698, 10.59, 46.15, 3.9980, 23.16, 24.30, 4.1476, 
10629698, 10.63, 46.11, 3.9996, 23.16, 24.30, 4.1492, 
10671697, 10.67, 46.15, 4.0012, 23.32, 24.30, 4.1476, 
10713701, 10.71, 46.01, 4.0043, 23.48, 24.30, 4.1492, 
10761696, 10.76, 45.91, 3.9789, 23.40, 24.30, 4.1508, 
10803699, 10.80, 45.89, 4.0012, 23.32, 24.30, 4.1461, 
10845698, 10.85, 46.01, 4.0028, 23.56, 24.30, 4.1461, 
10887698, 10.89, 46.06, 3.9980, 23.56, 24.30, 4.1508, 
10929699, 10.93, 46.13, 4.0028, 23.32, 24.30, 4.1476, 
10971699, 10.97, 46.25, 4.0043, 23.40, 24.30, 4.1461, 
11013704, 11.01, 46.28, 4.0043, 23.48, 24.30, 4.1445, 
11055702, 11.06, 46.42, 3.9996, 23.32, 24.30, 4.1461, 
11097699, 11.10, 46.62, 4.0028, 23.40, 24.30, 4.1476, 
11145697, 11.15, 46.69, 3.9821, 23.16, 24.30, 4.1492, 
11187698, 11.19, 46.79, 4.0091, 23.56, 24.30, 4.1492, 
11229697, 11.23, 46.79, 4.0091, 23.88, 24.30, 4.1492, 
11271703, 11.27, 46.76, 3.9980, 23.64, 24.30, 4.1476, 
11313699, 11.31, 46.62, 4.0028, 23.64, 24.30, 4.1508, 
11355697, 11.36, 46.64, 4.0059, 23.72, 24.30, 4.1445, 
11397702, 11.40, 46.72, 4.0059, 23.56, 24.30, 4.1508, 
11439693, 11.44, 46.74, 4.0059, 23.64, 24.30, 4.1492, 
11481699, 11.48, 46.72, 4.0028, 23.96, 24.30, 4.1461, 
11523700, 11.53, 46.79, 4.0028, 23.56, 24.30, 4.1476, 
11571693, 11.57, 46.81, 3.9805, 23.72, 24.30, 4.1429, 
11613693, 11.61, 46.79, 4.0028, 23.96, 24.30, 4.1461, 
11655698, 11.66, 46.79, 4.0059, 23.96, 24.30, 4.1461, 
11697701, 11.70, 46.89, 4.0043, 23.88, 24.40, 4.1492, 
