,Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
0,4.93,48.69,3.9836,22.76,24.0,4.1524
1,5.11,48.74,3.9821,22.84,24.1,4.1476
2,5.15,48.69,3.9757,23.0,24.1,4.1492
3,5.19,48.74,3.9805,23.32,24.1,4.1461
4,5.24,48.69,3.9805,23.48,24.1,4.1429
5,5.28,48.79,3.9821,23.24,24.1,4.1429
6,5.32,48.67,3.9852,23.4,24.1,4.1476
7,5.36,48.64,3.9757,23.24,24.1,4.1476
8,5.4,48.72,3.9805,23.48,24.1,4.1429
9,5.45,48.69,3.9805,23.32,24.1,4.1492
10,5.49,48.72,4.0043,23.16,24.1,4.1508
11,5.54,48.72,4.0028,23.24,24.1,4.1461
12,5.58,48.72,4.0091,23.24,24.1,4.1524
13,5.62,48.67,4.0043,23.32,24.1,4.1492
14,5.66,48.64,3.998,23.48,24.1,4.1492
15,5.7,48.74,4.0012,23.24,24.1,4.1476
16,5.75,48.64,4.0059,23.0,24.1,4.1461
17,5.79,48.74,3.9948,23.24,24.1,4.1461
18,5.95,48.72,4.0043,23.32,24.1,4.1413
19,5.99,48.82,3.9741,23.32,24.1,4.1492
20,6.03,48.72,4.0043,23.24,24.1,4.1461
21,6.07,48.74,4.0043,23.16,24.1,4.1492
22,6.12,48.77,4.0043,23.24,24.1,4.1492
23,6.16,48.77,3.998,23.16,24.1,4.1413
24,6.2,48.67,4.0012,23.08,24.1,4.1492
25,6.24,48.79,4.0012,23.32,24.1,4.1476
26,6.28,48.77,4.0075,23.48,24.1,4.1508
27,6.33,48.77,4.0043,22.92,24.1,4.1429
28,6.49,48.74,3.9805,23.4,24.1,4.1492
29,6.53,48.64,4.0028,23.32,24.1,4.1476
30,6.57,48.74,4.0012,23.08,24.1,4.1461
31,6.61,48.62,3.998,23.32,24.1,4.1524
32,6.66,48.64,4.0028,23.32,24.1,4.1492
33,6.7,48.6,3.9996,23.08,24.1,4.1476
34,6.74,48.57,4.0012,23.24,24.1,4.1476
35,6.78,48.64,4.0028,23.24,24.1,4.1476
36,6.82,48.55,4.0075,23.0,24.2,4.1476
37,6.99,48.64,4.0043,23.24,24.1,4.1445
38,7.03,48.6,3.9741,23.24,24.1,4.1476
39,7.08,48.62,4.0059,23.56,24.1,4.1445
40,7.12,48.6,4.0043,23.24,24.1,4.1508
41,7.16,48.6,3.9996,23.08,24.1,4.1461
42,7.2,48.62,4.0075,23.16,24.1,4.1492
43,7.24,48.64,4.0043,23.32,24.1,4.1492
44,7.29,48.69,4.0059,23.32,24.2,4.1508
45,7.33,48.62,4.0043,23.48,24.2,4.1508
46,7.37,48.72,4.0043,23.16,24.2,4.1445
47,7.54,48.72,3.9773,23.24,24.1,4.1492
48,7.58,48.69,3.9996,23.24,24.1,4.1492
49,7.62,48.69,4.0012,23.32,24.1,4.1461
50,7.66,48.74,3.9996,23.24,24.1,4.1476
51,7.7,48.67,4.0043,23.4,24.2,4.1461
52,7.75,48.64,3.9996,23.32,24.2,4.1461
53,7.79,48.72,3.9996,23.4,24.2,4.1445
54,7.83,48.67,4.0043,23.16,24.2,4.1508
55,7.87,48.67,4.0012,23.4,24.2,4.1445
56,7.92,48.64,3.9789,23.16,24.2,4.1476
57,7.96,48.77,4.0075,23.08,24.2,4.1508
58,8.0,48.69,4.0043,23.24,24.2,4.1461
59,8.05,48.72,4.0059,23.24,24.2,4.1476
60,8.09,48.67,4.0028,23.16,24.2,4.154
61,8.13,48.74,4.0028,23.24,24.2,4.1492
62,8.17,48.74,4.0091,23.24,24.2,4.1476
63,8.21,48.69,3.9964,23.24,24.2,4.1492
64,8.26,48.72,4.0043,23.16,24.2,4.1508
65,8.3,48.74,4.0043,23.16,24.2,4.1476
66,8.35,48.82,3.9805,23.4,24.2,4.1508
67,8.39,48.69,3.998,23.16,24.2,4.1476
68,8.43,48.77,3.9996,23.08,24.2,4.1476
69,8.47,48.74,4.0091,23.48,24.2,4.1492
70,8.51,48.77,4.0043,23.24,24.2,4.1492
71,8.56,48.77,4.0028,23.56,24.2,4.1524
72,8.6,48.69,3.998,23.32,24.2,4.1445
73,8.64,48.79,4.0028,23.32,24.2,4.154
74,8.68,48.62,4.0043,23.08,24.2,4.1476
75,8.73,48.69,3.9773,23.08,24.2,4.1492
76,8.77,48.72,3.998,23.24,24.2,4.1476
77,8.81,48.74,3.998,23.32,24.2,4.1461
78,8.86,48.72,4.0028,23.16,24.2,4.1492
79,8.9,48.69,4.0043,23.24,24.2,4.1492
80,8.94,48.69,3.998,23.32,24.2,4.1524
81,9.0,48.69,3.9821,23.24,24.2,4.1445
82,9.04,48.72,3.9805,23.16,24.2,4.1461
83,9.09,48.72,3.9741,23.24,24.2,4.1429
84,9.13,48.79,3.9805,23.16,24.2,4.1445
85,9.18,48.72,3.9836,23.32,24.2,4.1476
86,9.22,48.72,4.0043,23.16,24.2,4.1492
87,9.26,48.72,4.0012,23.24,24.2,4.1445
88,9.3,48.72,4.0028,23.16,24.2,4.1524
89,9.34,48.72,4.0059,23.32,24.2,4.1476
90,9.39,48.79,4.0043,23.16,24.2,4.1476
91,9.43,48.72,4.0059,23.0,24.2,4.1492
92,9.47,48.74,4.0028,23.4,24.2,4.1492
93,9.51,48.6,4.0075,23.16,24.2,4.1492
94,9.57,48.57,3.9821,22.76,24.2,4.1492
95,9.61,48.42,4.0012,23.48,24.2,4.1508
96,9.65,48.4,4.0028,23.32,24.2,4.1524
97,9.69,48.25,4.0028,23.32,24.2,4.1524
98,9.74,48.08,3.9964,23.32,24.2,4.1492
99,9.78,47.84,3.998,23.32,24.2,4.1476
100,9.82,47.52,3.998,23.48,24.2,4.1476
101,9.86,47.23,4.0012,23.48,24.3,4.1508
102,9.9,46.81,4.0043,23.16,24.3,4.1476
