Time [us], A0, A1
3001488,267,398
3004104,265,392
3006736,266,393
3009400,266,400
3012084,267,401
3014792,266,401
3017516,265,400
3020240,266,393
3022956,269,393
3025668,266,400
3028388,266,400
3031112,266,400
3033836,266,400
3036564,265,393
3039288,267,392
3042008,266,399
3044740,267,400
3047464,266,400
3050176,266,400
3052908,266,394
3055640,267,392
3058356,266,398
3061076,267,400
3063804,266,401
3066520,266,400
3069256,267,394
3071980,264,392
3074704,265,397
3077428,267,400
3080148,267,400
3082876,267,400
3085612,266,395
3088332,266,392
3091052,267,396
3093780,265,400
3096500,267,400
3099232,266,400
3101956,267,396
3104692,266,392
3107412,266,395
3110140,266,400
3112868,267,400
3115604,266,401
3118324,267,397
3121044,260,392
3123780,266,394
3126508,266,400
3129232,266,400
3131956,264,400
3134676,266,398
3137404,266,392
3140132,266,393
3142852,265,400
3145580,266,400
3148300,267,400
3151004,265,400
3153724,267,393
3156452,266,393
3159172,267,400
3161900,265,400
3164628,267,400
3167356,266,400
3170084,267,393
3172820,268,392
3175548,266,400
3178272,266,401
3181004,266,401
3183732,267,400
3186452,266,394
3189180,270,392
3191908,265,399
3194644,267,400
3197372,264,400
3200100,266,400
3202828,268,394
3205564,266,392
3208292,266,398
3211012,265,400
3213748,266,400
3216476,267,401
3219196,266,394
3221932,264,392
3224652,266,397
3227372,267,401
3230100,268,401
3232832,266,400
3235556,265,395
3238284,261,392
3241008,267,395
3243740,265,400
3246468,266,400
3249184,266,400
3251916,266,396
3254652,266,392
3257380,266,395
3260108,266,400
3262844,267,400
3265576,266,401
3268300,266,397
3271020,267,392
3273752,268,394
3276476,267,400
3279216,266,401
3281944,266,400
3284668,266,398
3287396,265,393
3290128,266,393
3292852,266,401
3295580,266,401
3298292,266,400
3301012,266,400
3303740,266,393
3306452,265,393
3309180,266,400
3311908,265,400
3314636,266,400
3317364,266,400
3320084,267,393
3322804,266,392
3325524,267,400
3328248,265,401
3330964,266,401
3333692,267,400
3336404,266,394
3339116,267,392
3341852,266,399
3344580,264,401
3347300,266,400
3350028,267,400
3352748,265,394
3355468,266,392
3358196,264,398
3360932,267,400
3363652,267,400
3366388,266,401
3369108,268,395
3371828,259,392
3374564,265,396
3377284,267,400
3380004,266,400
3382732,266,401
3385452,266,396
3388172,268,392
3390908,265,395
3393636,266,401
3396356,267,400
3399084,266,401
3401804,265,397
3404532,267,392
3407264,266,394
3409992,267,401
3412716,267,401
3415444,266,400
3418172,264,398
3420900,265,393
3423636,267,394
3426372,266,400
3429092,266,400
3431828,266,400
3434556,268,399
3437276,266,393
3440012,266,393
